title,views,date_time,video_link,thumbnail_link
Learn AWS Fundamentals For Free,2K views,Streamed 1 month ago,/watch?v=lGCmCSj5FoY,https://i.ytimg.com/vi/lGCmCSj5FoY/hqdefault.jpg
Upgrade yourself In 29 Days | GeeksforGeeks,2K views,1 month ago,/watch?v=dSZF-zG2jac,https://i.ytimg.com/vi/dSZF-zG2jac/hqdefault.jpg
Master Bootcamp - Data Science (Live) | March 24-28 | GeeksforGeeks,2.4K views,1 month ago,/watch?v=aKtp-hYN9pU,https://i.ytimg.com/vi/aKtp-hYN9pU/hqdefault.jpg
How I got into Walmart | Shailesh Sharma,1.9K views,Streamed 1 month ago,/watch?v=yVc-glZnGZA,https://i.ytimg.com/vi/yVc-glZnGZA/hqdefault.jpg
Campus Mantri Program by GeeksforGeeks,1.4K views,1 month ago,/watch?v=kT6g0iOOFIg,https://i.ytimg.com/vi/kT6g0iOOFIg/hqdefault.jpg
What The FAQ with HR,1.8K views,Streamed 1 month ago,/watch?v=PAK4SSxaUxU,https://i.ytimg.com/vi/PAK4SSxaUxU/hqdefault.jpg
DevOps In A Go,2.2K views,Streamed 1 month ago,/watch?v=0aLK6kMDYpY,https://i.ytimg.com/vi/0aLK6kMDYpY/hqdefault.jpg
How to become a Software Engineer at GOOGLE,4.4K views,Streamed 1 month ago,/watch?v=KASAwhbq4e0,https://i.ytimg.com/vi/KASAwhbq4e0/hqdefault.jpg
Add DSA to your routine | GeeksforGeeks,8.7K views,1 month ago,/watch?v=_yfcJprhxaI,https://i.ytimg.com/vi/_yfcJprhxaI/hqdefault.jpg
Most Asked DSA Questions in an Interview Day 3 | Md Faraz,1.9K views,Streamed 1 month ago,/watch?v=bKKrozNTSQQ,https://i.ytimg.com/vi/bKKrozNTSQQ/hqdefault.jpg
Placements from GFG Get Hired Job Portal | OneFin,853 views,Streamed 2 months ago,/watch?v=-FmvaXaWHi0,https://i.ytimg.com/vi/-FmvaXaWHi0/hqdefault.jpg
Placements from GFG Get Hired Job Portal | OneFin,981 views,Streamed 2 months ago,/watch?v=cI3ESH4_aYw,https://i.ytimg.com/vi/cI3ESH4_aYw/hqdefault.jpg
A Resume Expert Reveals What A Perfect Resume Looks Like,2.4K views,Streamed 2 months ago,/watch?v=jJ6ks5ob1F0,https://i.ytimg.com/vi/jJ6ks5ob1F0/hqdefault.jpg
Most Asked DSA Questions in an Interview Day 2 | Chirag Vaishav,1.2K views,Streamed 2 months ago,/watch?v=DOrTc4pcphc,https://i.ytimg.com/vi/DOrTc4pcphc/hqdefault.jpg
Most Asked DSA Questions in an Interview Day 1 | Siddharth Hazra,2.5K views,Streamed 2 months ago,/watch?v=bj9om53aIBE,https://i.ytimg.com/vi/bj9om53aIBE/hqdefault.jpg
"Believe In Yourself | Code India Code | March, 6th",1.7K views,2 months ago,/watch?v=uGiJm2fL4YQ,https://i.ytimg.com/vi/uGiJm2fL4YQ/hqdefault.jpg
How to learn Cloud Computing ? | Ranga Karanam,3.6K views,Streamed 2 months ago,/watch?v=hl2QWG2RB2Q,https://i.ytimg.com/vi/hl2QWG2RB2Q/hqdefault.jpg
How to use GFG to optimize your coding skills?,2.3K views,Streamed 2 months ago,/watch?v=C5yRi6jU4gQ,https://i.ytimg.com/vi/C5yRi6jU4gQ/hqdefault.jpg
Find Your Purpose | Code India Code | GeeksforGeeks,1.6K views,2 months ago,/watch?v=-RWVCqjGxCE,https://i.ytimg.com/vi/-RWVCqjGxCE/hqdefault.jpg
How to become a Software Engineer at GOOGLE?,5.8K views,Streamed 2 months ago,/watch?v=IjyAyWdK6ts,https://i.ytimg.com/vi/IjyAyWdK6ts/hqdefault.jpg
How is Competitive Coding/DSA useful in companies?,2.3K views,Streamed 2 months ago,/watch?v=s5szUeln0M0,https://i.ytimg.com/vi/s5szUeln0M0/hqdefault.jpg
Each Best Has A Story | Code India Code | March 6,1K views,2 months ago,/watch?v=_lLU7C69l30,https://i.ytimg.com/vi/_lLU7C69l30/hqdefault.jpg
How I got an internship at Swiggy,1.8K views,Streamed 2 months ago,/watch?v=jYIDgzyyvkE,https://i.ytimg.com/vi/jYIDgzyyvkE/hqdefault.jpg
5 Coding Myths that You Must Know! | GeeksforGeeks,1.4K views,2 months ago,/watch?v=zjKQXCJHy0Y,https://i.ytimg.com/vi/zjKQXCJHy0Y/hqdefault.jpg
"Geeks Premier League | Write, Learn & Earn With GeeksforGeeks",710 views,2 months ago,/watch?v=4P17Dla9BLs,https://i.ytimg.com/vi/4P17Dla9BLs/hqdefault.jpg
Why my resume got selected in  Microsoft | Pravash Ranjan,3.2K views,Streamed 2 months ago,/watch?v=wkzndOOggcA,https://i.ytimg.com/vi/wkzndOOggcA/hqdefault.jpg
Placements from GFG Job Portal | Get Hired,1.1K views,Streamed 2 months ago,/watch?v=YWsMPpibdrs,https://i.ytimg.com/vi/YWsMPpibdrs/hqdefault.jpg
Code India Code | Biggest Coding Contest Ever By GeeksforGeeks,1.4K views,2 months ago,/watch?v=jfMrDycpE7w,https://i.ytimg.com/vi/jfMrDycpE7w/hqdefault.jpg
Live Mock DSA,2.3K views,Streamed 2 months ago,/watch?v=KL2519-wGgQ,https://i.ytimg.com/vi/KL2519-wGgQ/hqdefault.jpg
Bi-Wizard 2.0 | Coding Contest For School Students | GeeksforGeeks,16K views,2 months ago,/watch?v=SnogQvL4DUw,https://i.ytimg.com/vi/SnogQvL4DUw/hqdefault.jpg
First missing positive number in array | Rahul Singla | GeeksforGeeks,2.5K views,Streamed 2 months ago,/watch?v=775SN6B1l2U,https://i.ytimg.com/vi/775SN6B1l2U/hqdefault.jpg
Google Interview Experience,3.7K views,Streamed 2 months ago,/watch?v=hV2ptu4fW_M,https://i.ytimg.com/vi/hV2ptu4fW_M/hqdefault.jpg
Job-A-Thon 6 Post Contest Analysis | Siddharth Hazra | Get Hired with GeeksforGeeks,2K views,Streamed 2 months ago,/watch?v=AxQ1UwSBq40,https://i.ytimg.com/vi/AxQ1UwSBq40/hqdefault.jpg
GATE CS All-India Scholarship Test | GeeksforGeeks,34K views,2 months ago,/watch?v=lQwp_5Hi76Q,https://i.ytimg.com/vi/lQwp_5Hi76Q/hqdefault.jpg
Let's start | Rahul Singla | GeeksforGeeks,1.4K views,Streamed 2 months ago,/watch?v=T-Euxdh6Z3w,https://i.ytimg.com/vi/T-Euxdh6Z3w/hqdefault.jpg
Get Hired by BITCS | Job-A-Thon 6,1K views,Streamed 2 months ago,/watch?v=_Q_VPbQK8Z8,https://i.ytimg.com/vi/_Q_VPbQK8Z8/hqdefault.jpg
How to make a resume that gets Shortlisted by HR,4.5K views,Streamed 2 months ago,/watch?v=fsbzykH1uKw,https://i.ytimg.com/vi/fsbzykH1uKw/hqdefault.jpg
Coding Battleground + Menti War,2.1K views,Streamed 2 months ago,/watch?v=ngdh3d5xYkA,https://i.ytimg.com/vi/ngdh3d5xYkA/hqdefault.jpg
Live Mock DSA,3K views,Streamed 2 months ago,/watch?v=wV6lsAtuFa0,https://i.ytimg.com/vi/wV6lsAtuFa0/hqdefault.jpg
Life @ IIT,1.6K views,Streamed 2 months ago,/watch?v=yAZrxHOSQv8,https://i.ytimg.com/vi/yAZrxHOSQv8/hqdefault.jpg
Uber Interview Experience,4.6K views,Streamed 2 months ago,/watch?v=iyYXgsB7ndw,https://i.ytimg.com/vi/iyYXgsB7ndw/hqdefault.jpg
Get Hired at BitKraft Technologies | Job-A-Thon 6,949 views,Streamed 2 months ago,/watch?v=fHjrPio80GE,https://i.ytimg.com/vi/fHjrPio80GE/hqdefault.jpg
Unboxing Interview Series | American Express | Siddharth Hazra | GeeksforGeeks,1.2K views,Streamed 2 months ago,/watch?v=9DFCzQgs9Ac,https://i.ytimg.com/vi/9DFCzQgs9Ac/hqdefault.jpg
Doubt Support Program | First Time Offer | GeeksforGeeks,3.3K views,2 months ago,/watch?v=hGpGwvCYsKQ,https://i.ytimg.com/vi/hGpGwvCYsKQ/hqdefault.jpg
Coding Battleground + MENTI war,2.3K views,Streamed 2 months ago,/watch?v=1YizK7qXHkI,https://i.ytimg.com/vi/1YizK7qXHkI/hqdefault.jpg
How to be an SDE at Red Hat | Interview Experience,2.1K views,Streamed 2 months ago,/watch?v=S5lJywQl9Nc,https://i.ytimg.com/vi/S5lJywQl9Nc/hqdefault.jpg
Job-A-Thon | Monthly Hiring Challenges | GeeksforGeeks,20K views,2 months ago,/watch?v=GQvHxwnnV5A,https://i.ytimg.com/vi/GQvHxwnnV5A/hqdefault.jpg
How I got into Google | Interview Experience Webinar,2.2K views,Streamed 2 months ago,/watch?v=MZp7AmsyZDs,https://i.ytimg.com/vi/MZp7AmsyZDs/hqdefault.jpg
A day in the life of a Data Analyst,2.3K views,Streamed 2 months ago,/watch?v=aFn9XsUjpiw,https://i.ytimg.com/vi/aFn9XsUjpiw/hqdefault.jpg
How I landed offers from AMAZON and MICROSOFT,2.2K views,Streamed 2 months ago,/watch?v=CPvrrmxncis,https://i.ytimg.com/vi/CPvrrmxncis/hqdefault.jpg
Introduction to Java | Rahul Singla | GeeksforGeeks,2K views,Streamed 2 months ago,/watch?v=Gfxnei1aIkI,https://i.ytimg.com/vi/Gfxnei1aIkI/hqdefault.jpg
Unboxing Interview Series | Intuit | Siddharth Hazra |  GeeksforGeeks Practice,1.9K views,Streamed 2 months ago,/watch?v=N1KGnrWPIsA,https://i.ytimg.com/vi/N1KGnrWPIsA/hqdefault.jpg
AMA on Placements | Rahul Singla,1.4K views,Streamed 3 months ago,/watch?v=9Ac9C2kjz94,https://i.ytimg.com/vi/9Ac9C2kjz94/hqdefault.jpg
How to build a Highly Impactful LinkedIn Profile,1.8K views,Streamed 3 months ago,/watch?v=64e9_4jX_XU,https://i.ytimg.com/vi/64e9_4jX_XU/hqdefault.jpg
"GATE Batch 2023 | Launching March, 21 | Register Now",2K views,3 months ago,/watch?v=ripxSckhlAU,https://i.ytimg.com/vi/ripxSckhlAU/hqdefault.jpg
GATE CSE 2022 Full Exam Analysis,5.9K views,Streamed 3 months ago,/watch?v=84u9V-qOGcI,https://i.ytimg.com/vi/84u9V-qOGcI/hqdefault.jpg
How to earn money with GeeksforGeeks,7.4K views,Streamed 3 months ago,/watch?v=omqjqglzsMU,https://i.ytimg.com/vi/omqjqglzsMU/hqdefault.jpg
Coding Battleground + MENTI war,1.5K views,Streamed 3 months ago,/watch?v=Xju7Xgy9JLk,https://i.ytimg.com/vi/Xju7Xgy9JLk/hqdefault.jpg
How to get STEP Internship | Become a #Noogler | Google Interview Experience,2K views,Streamed 3 months ago,/watch?v=ewJI2PAMKzY,https://i.ytimg.com/vi/ewJI2PAMKzY/hqdefault.jpg
National Instruments Interview Experience,1.1K views,Streamed 3 months ago,/watch?v=pgon2mz_A1s,https://i.ytimg.com/vi/pgon2mz_A1s/hqdefault.jpg
Importance Of OS and DBMS in Interviews,3.2K views,Streamed 3 months ago,/watch?v=K_4l61vg2pQ,https://i.ytimg.com/vi/K_4l61vg2pQ/hqdefault.jpg
Elite Coding Battleground + MENTI war,1.5K views,Streamed 3 months ago,/watch?v=OIVStcF-IMg,https://i.ytimg.com/vi/OIVStcF-IMg/hqdefault.jpg
How to prepare for Coding Rounds?,3.6K views,Streamed 3 months ago,/watch?v=_sxKy489RzQ,https://i.ytimg.com/vi/_sxKy489RzQ/hqdefault.jpg
Live Mock DSA,2.8K views,Streamed 3 months ago,/watch?v=uzX15QOuvO0,https://i.ytimg.com/vi/uzX15QOuvO0/hqdefault.jpg
How Google Hires | Interview Experience,4K views,Streamed 3 months ago,/watch?v=02qbeEcs9Uk,https://i.ytimg.com/vi/02qbeEcs9Uk/hqdefault.jpg
A Day in life of a Data Engineer,3.4K views,Streamed 3 months ago,/watch?v=gF3i7zgg_0s,https://i.ytimg.com/vi/gF3i7zgg_0s/hqdefault.jpg
GATE CS All India Mock- 3 | GeeksforGeeks,6.7K views,3 months ago,/watch?v=4vEDkpmwX1E,https://i.ytimg.com/vi/4vEDkpmwX1E/hqdefault.jpg
Coding Battleground + MENTI War,2.6K views,Streamed 3 months ago,/watch?v=VjL9uIq4-w4,https://i.ytimg.com/vi/VjL9uIq4-w4/hqdefault.jpg
Bi-Wizard School Coding Contest | GeeksforGeeks School,2.3K views,3 months ago,/watch?v=E5EHtZRa5w0,https://i.ytimg.com/vi/E5EHtZRa5w0/hqdefault.jpg
MTX Interview Experience,1K views,Streamed 3 months ago,/watch?v=e29GiHvhF2o,https://i.ytimg.com/vi/e29GiHvhF2o/hqdefault.jpg
Introduction to constructive problems |  Prefix sum |  Siddharth Hazra | GeeksforGeeks,4.7K views,Streamed 3 months ago,/watch?v=trPz9nIKeXQ,https://i.ytimg.com/vi/trPz9nIKeXQ/hqdefault.jpg
Job-A-Thon 5 | GeeksforGeeks,1K views,3 months ago,/watch?v=JZMSCu86N9M,https://i.ytimg.com/vi/JZMSCu86N9M/hqdefault.jpg
NCR Interview Experience,1.2K views,Streamed 3 months ago,/watch?v=MnwpI4_AWNM,https://i.ytimg.com/vi/MnwpI4_AWNM/hqdefault.jpg
Unboxing Interview Series Question | PhonePe | Siddharth Hazra | GeeksforGeeks Practice,2.1K views,Streamed 3 months ago,/watch?v=0RU63_fN2CU,https://i.ytimg.com/vi/0RU63_fN2CU/hqdefault.jpg
Post Exam Analysis | ALL INDIA MOCK(AIM-2) | GATE CS 2022 | Mukesh Kumar | GeeksforGeeks,619 views,Streamed 3 months ago,/watch?v=492G-pfIcic,https://i.ytimg.com/vi/492G-pfIcic/hqdefault.jpg
Big OH Notation - Hiring & Advice for freshers,1.5K views,Streamed 3 months ago,/watch?v=JHb0l9qnTcI,https://i.ytimg.com/vi/JHb0l9qnTcI/hqdefault.jpg
Algo Geek- DSA Writing Contest | GeeksforGeeks,1K views,3 months ago,/watch?v=RTwOPh1ni8Q,https://i.ytimg.com/vi/RTwOPh1ni8Q/hqdefault.jpg
Coding Battleground,3K views,Streamed 3 months ago,/watch?v=gbs3xehuwyw,https://i.ytimg.com/vi/gbs3xehuwyw/hqdefault.jpg
Job-A-Thon 5 | Hiring Challenge By GeeksforGeeks,1.1K views,3 months ago,/watch?v=r2btDFbkzqo,https://i.ytimg.com/vi/r2btDFbkzqo/hqdefault.jpg
Expedia Interview Experience,1.3K views,Streamed 3 months ago,/watch?v=2OMJrR2yGW4,https://i.ytimg.com/vi/2OMJrR2yGW4/hqdefault.jpg
Ace DSA with Geek of The Month | GeeksforGeeks,1.3K views,Streamed 3 months ago,/watch?v=zr94uZQgYMA,https://i.ytimg.com/vi/zr94uZQgYMA/hqdefault.jpg
GATE Capsule DAY-3 | Sakshi Singhal | GeeksforGeeks,597 views,3 months ago,/watch?v=Bjed-kudYkU,https://i.ytimg.com/vi/Bjed-kudYkU/hqdefault.jpg
Amazon Interview Experience,5K views,Streamed 3 months ago,/watch?v=8dOR5hc7V5g,https://i.ytimg.com/vi/8dOR5hc7V5g/hqdefault.jpg
Infosys Interview Preparation | GeeksforGeeks,2.5K views,Streamed 3 months ago,/watch?v=su_loqNJchU,https://i.ytimg.com/vi/su_loqNJchU/hqdefault.jpg
GATE CS All India Mock- 2 | GeeksforGeeks,2.9K views,3 months ago,/watch?v=N7yfCj_Xl08,https://i.ytimg.com/vi/N7yfCj_Xl08/hqdefault.jpg
Introduction to App Development using Flutter| Resolution Days 2022 | GeeksforGeeks,2.4K views,Streamed 3 months ago,/watch?v=mfDnUpCIKoo,https://i.ytimg.com/vi/mfDnUpCIKoo/hqdefault.jpg
Low Level Design | Keerti Purswani | Resolution Days 2022 | GeeksforGeeks,3.3K views,Streamed 3 months ago,/watch?v=l81C3Bsp_Rc,https://i.ytimg.com/vi/l81C3Bsp_Rc/hqdefault.jpg
Roadmap to Machine Learning,2.2K views,Streamed 3 months ago,/watch?v=scKjY91V7I8,https://i.ytimg.com/vi/scKjY91V7I8/hqdefault.jpg
How to boost the habit of Coding,3K views,Streamed 3 months ago,/watch?v=GecR1c562-E,https://i.ytimg.com/vi/GecR1c562-E/hqdefault.jpg
Applications of Python,2K views,Streamed 3 months ago,/watch?v=D7cjJSmmiyY,https://i.ytimg.com/vi/D7cjJSmmiyY/hqdefault.jpg
DSA vs Web Development vs Machine Learning | Resolution Days 2022 | GeeksforGeeks,2.9K views,Streamed 3 months ago,/watch?v=wSToOphYaAg,https://i.ytimg.com/vi/wSToOphYaAg/hqdefault.jpg
Understanding the essence of Data Science | Resolution Days 2022 | GeeksforGeeks,1.1K views,Streamed 3 months ago,/watch?v=uog1KeFVfuA,https://i.ytimg.com/vi/uog1KeFVfuA/hqdefault.jpg
